,country,year,recall_LR_TN,recall_LR_TP,accuracy_LR,recall_DT_TN,recall_DT_TP,accuracy_DT,recall_LDA_TN,recall_LDA_TP,accuracy_LDA,recall_NB_TN,recall_NB_TP,accuracy_NB
0,AT,1998,0.6518987341772152,0.4,0.6441717791411042,0.6518987341772152,0.4,0.6441717791411042,0.620253164556962,0.4,0.6134969325153374,0.24050632911392406,0.6,0.25153374233128833
1,AT,1999,0.6758241758241759,0.25,0.6578947368421053,0.9560439560439561,0.125,0.9210526315789473,0.6758241758241759,0.25,0.6578947368421053,0.25274725274725274,0.625,0.26842105263157895
2,AT,2000,1.0,0.0,0.9385474860335196,1.0,0.0,0.9385474860335196,1.0,0.0,0.9385474860335196,0.3392857142857143,0.9090909090909091,0.3743016759776536
3,AT,2001,0.9058823529411765,0.14285714285714285,0.8757062146892656,0.8411764705882353,0.2857142857142857,0.8192090395480226,0.6294117647058823,0.5714285714285714,0.6271186440677966,0.2647058823529412,0.8571428571428571,0.288135593220339
4,AT,2002,1.0,0.0,0.9414893617021277,0.903954802259887,0.18181818181818182,0.8617021276595744,0.96045197740113,0.09090909090909091,0.9095744680851063,0.2768361581920904,1.0,0.3191489361702128
5,AT,2003,1.0,0.0,0.9887005649717514,0.9771428571428571,0.0,0.9661016949152542,1.0,0.0,0.9887005649717514,0.32,0.5,0.3220338983050847
6,AT,2004,1.0,0.0,0.9145299145299145,0.7009345794392523,0.0,0.6410256410256411,0.6635514018691588,0.2,0.6239316239316239,0.18691588785046728,0.9,0.24786324786324787
7,AT,2005,1.0,0.0,0.9428571428571428,0.9410774410774411,0.1111111111111111,0.8936507936507937,1.0,0.0,0.9428571428571428,0.31986531986531985,0.8055555555555556,0.3476190476190476
8,AT,2006,1.0,0.0,0.9558823529411765,1.0,0.0,0.9558823529411765,1.0,0.0,0.9558823529411765,0.3435897435897436,0.7037037037037037,0.35947712418300654
9,AT,2007,0.964765100671141,0.16129032258064516,0.9250398724082934,0.964765100671141,0.16129032258064516,0.9250398724082934,0.964765100671141,0.16129032258064516,0.9250398724082934,0.313758389261745,0.9354838709677419,0.3444976076555024
