,country,year,precision_LR_TN,precision_LR_TP,accuracy_LR,precision_DT_TN,precision_DT_TP,accuracy_DT,precision_LDA_TN,precision_LDA_TP,accuracy_LDA,precision_NB_TN,precision_NB_TP,accuracy_NB
0,DE,1999,0.9245667686034659,0.0,0.9245667686034659,0.9351851851851852,0.15384615384615385,0.8419979612640163,0.9309551208285386,0.125,0.8389398572884812,0.9562043795620438,0.0876944837340877,0.3302752293577982
1,DE,2000,0.9237983587338804,0.11363636363636363,0.8480340063761955,0.9194847020933977,0.078125,0.6333687566418703,0.9237983587338804,0.11363636363636363,0.8480340063761955,0.9507575757575758,0.0915805022156573,0.332624867162593
2,DE,2001,0.9320652173913043,0.08627450980392157,0.7144298688193743,0.9368258859784283,0.09064327485380116,0.644803229061554,0.9320652173913043,0.08627450980392157,0.7144298688193743,0.9515570934256056,0.08262108262108261,0.3360242179616549
3,DE,2002,0.9226694915254238,0.0,0.9226694915254238,0.9226694915254238,0.0,0.9226694915254238,0.9226694915254238,0.0,0.9226694915254238,0.9433333333333334,0.08695652173913043,0.3591101694915254
4,DE,2003,0.9394273127753304,0.0,0.9394273127753304,0.9409090909090909,0.10714285714285714,0.9151982378854625,0.9394273127753304,0.0,0.9394273127753304,0.9717314487632509,0.0752,0.35462555066079293
5,DE,2004,0.9466666666666667,0.0,0.9466666666666667,0.9466666666666667,0.0,0.9466666666666667,0.9466666666666667,0.0,0.9466666666666667,0.9806451612903225,0.0711864406779661,0.3844444444444444
6,DE,2005,0.9197349042709867,0.0,0.9197349042709867,0.9197349042709867,0.0,0.9197349042709867,0.9197349042709867,0.0,0.9197349042709867,0.944206008583691,0.0930493273542601,0.3851251840942563
7,DE,2006,0.8874172185430463,0.0,0.8874172185430463,0.8904109589041096,0.2,0.8675496688741722,0.8904109589041096,0.2,0.8675496688741722,0.9333333333333333,0.1320754716981132,0.3708609271523179
8,DE,2007,0.916083916083916,0.0,0.916083916083916,0.916083916083916,0.0,0.916083916083916,0.916083916083916,0.0,0.916083916083916,0.9615384615384616,0.10989010989010989,0.4195804195804196
9,DE,2008,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,0.0,0.9473684210526315,0.9473684210526315,0.0,0.9473684210526315,1.0,0.09210526315789473,0.48120300751879697
10,DE,2009,0.9054054054054054,0.0,0.8933333333333333,0.9159663865546218,0.12903225806451613,0.7533333333333333,0.9159663865546218,0.12903225806451613,0.7533333333333333,0.9090909090909091,0.09523809523809523,0.4533333333333333
11,DE,2010,0.9210526315789473,0.06896551724137931,0.7482517482517482,0.925,0.08695652173913043,0.7902097902097902,0.9404761904761905,0.1016949152542373,0.5944055944055944,1.0,0.12222222222222222,0.44755244755244755
12,DE,2011,0.9393939393939394,0.16666666666666666,0.875,0.9393939393939394,0.16666666666666666,0.875,0.9393939393939394,0.16666666666666666,0.875,0.9661016949152542,0.09411764705882353,0.4513888888888889
13,DE,2012,0.9103169251517195,0.0,0.9103169251517195,0.9119086460032626,0.09727626459143969,0.7707349966284558,0.9181073703366697,0.11197916666666667,0.7093728927848955,0.9403747870528109,0.109375,0.4383007417397168
14,DE,2013,0.9105748757984387,0.0,0.9105748757984387,0.9105748757984387,0.0,0.9105748757984387,0.9105748757984387,0.0,0.9105748757984387,0.9568221070811744,0.1216867469879518,0.46486870120652946
15,DE,2014,0.9041278295605859,0.0,0.9041278295605859,0.9059304703476483,0.17142857142857143,0.888814913448735,0.910802775024777,0.10953346855983773,0.6478029294274301,0.947107438016529,0.12486064659977704,0.4560585885486019
16,DE,2015,0.9327569644572526,0.17467248908296942,0.7011340893929286,0.9157407407407407,0.14081145584725538,0.6991327551701134,0.9596899224806201,0.1451990632318501,0.49566377585056703,0.9596899224806201,0.1451990632318501,0.49566377585056703
17,DE,2016,0.9376657824933687,0.12456344586728754,0.504649721016739,0.9416475972540046,0.13937753721244925,0.574085554866708,0.9376657824933687,0.12456344586728754,0.504649721016739,0.9551569506726457,0.13135593220338984,0.47303161810291383
18,DE,2017,0.9394366197183098,0.12729357798165136,0.4917825537294564,0.9402092675635276,0.1248630887185104,0.4696586599241466,0.9394366197183098,0.12729357798165136,0.4917825537294564,0.9504,0.12852664576802508,0.4532237673830594
19,DE,2018,0.9134262655906089,0.05058365758754864,0.7765432098765432,0.9313113291703836,0.10821643286573146,0.6777777777777778,0.9320046893317703,0.09517601043024772,0.5358024691358024,0.9533762057877814,0.10220440881763528,0.42901234567901236
20,DE,2019,0.9355590062111802,0.10526315789473684,0.7537901758641601,0.9354518371400199,0.08722741433021806,0.6052152819890843,0.9369973190348525,0.08194905869324474,0.4687689508793208,0.9654088050314465,0.09772951628825272,0.4323832625833839
